n,time
1,1.145468
2,0.169368
3,0.169101
4,0.169219
5,0.137313
6,0.139573
7,0.13631
8,0.141361
9,0.140397
10,0.141612
11,0.178761
12,0.149293
13,0.137928
14,0.150154
15,0.149182
16,0.166287
17,0.151164
18,0.157071
19,0.150831
20,0.159308
21,0.162663
22,0.15497
23,0.162869
24,0.169259
25,0.163089
26,0.166449
27,0.168878
28,0.166434
29,0.172126
30,0.172684
31,0.172947
32,0.170982
33,0.181394
34,0.175433
35,0.188127
36,0.183858
37,0.177437
38,0.180845
39,0.185912
40,0.185802
41,0.187162
42,0.198933
43,0.188982
44,0.202184
45,0.185396
46,0.194184
47,0.200747
48,0.193988
49,0.250171
50,0.205475
51,0.208845
52,0.188995
53,0.19071
54,0.197672
55,0.210241
56,0.187562
57,0.189091
58,0.185444
59,0.187995
60,0.191601
61,0.191998
62,0.190263
63,0.203819
64,0.195157
65,0.200895
66,0.199886
67,0.203134
68,0.201176
69,0.200218
70,0.206624
71,0.205352
72,0.209606
73,0.210167
74,0.210078
75,0.216694
76,0.215703
77,0.211348
78,0.214873
79,0.21491
80,0.22075
81,0.231101
82,0.219928
83,0.221898
84,0.224202
85,1.650054
86,0.262281
87,0.184938
88,0.183329
89,0.197563
90,0.197672
91,0.19291
92,0.200858
93,0.199453
94,0.206453
95,0.198509
96,0.200527
97,0.204168
98,0.205372
99,0.203564
100,0.192792
101,0.192355
102,0.195273
103,0.196356
104,0.195638
105,0.198379
106,0.210025
107,0.201888
108,0.228351
109,0.19918
110,0.216371
111,0.20429
112,0.206591
113,0.204242
114,0.209793
115,0.207796
116,0.210896
117,0.218084
118,0.211898
119,0.21385
120,0.213976
121,0.216173
122,0.215919
123,0.218284
124,0.218429
125,0.225227
126,0.220487
127,0.227067
128,0.220608
129,0.235049
130,0.224455
131,0.224048
132,0.226764
133,0.226932
134,0.229204
135,0.231992
136,0.237775
137,0.232704
138,0.230224
139,0.241021
140,0.380063
141,0.278798
142,0.232881
143,0.226678
144,0.228782
145,0.229578
146,0.24113
147,0.220628
148,0.218264
149,0.219926
150,0.22013
151,0.222277
152,0.224645
153,0.224801
154,0.226551
155,0.227361
156,0.226371
157,0.227546
158,0.233676
159,0.236339
160,0.233158
161,0.234672
162,0.237253
163,0.236075
164,0.23834
165,0.237945
166,0.239879
167,0.243597
168,0.241175
169,0.243661
170,0.242226
171,0.246861
172,0.245819
173,0.247711
174,0.248678
175,0.253063
176,0.250672
177,0.249945
178,0.250096
179,0.251483
180,0.252706
181,0.253641
182,0.255659
183,0.259128
184,0.475874
185,0.267967
186,0.259324
187,0.260072
188,0.260705
189,0.281484
190,0.261452
191,0.260299
192,0.26373
193,0.26615
194,0.269108
195,0.268689
196,0.268094
197,0.269174
198,0.278749
199,0.27087
200,0.2704
201,0.27624
202,0.271929
203,0.278352
204,0.281874
205,0.274419
206,0.277123
207,0.278686
208,0.280135
209,0.280592
210,0.28418
211,0.293524
212,0.286092
213,0.291037
214,0.287011
215,0.288459
216,0.289781
217,0.291952
218,0.296857
219,0.291136
220,0.303934
221,0.456499
222,0.32106
223,0.298399
224,0.297708
225,0.298579
226,0.298349
227,0.299573
228,0.300426
229,0.303379
230,0.327623
231,0.3041
232,0.30758
233,0.304748
234,0.30365
235,0.312467
236,0.311355
237,0.309968
238,0.311541
239,0.312377
240,0.31066
241,0.315102
242,0.313571
243,0.32147
244,0.314664
245,0.314601
246,0.322396
247,0.323091
248,0.321042
249,0.324302
250,0.32371
251,0.326395
252,0.324751
253,0.329104
254,0.483116
255,0.371839
256,0.32894
257,0.3399
258,0.330741
259,0.336456
260,0.33259
261,0.333536
262,0.337665
263,0.340547
264,0.335176
265,0.338398
266,0.35134
267,0.233366
268,0.234103
269,0.237928
270,0.223218
271,0.209059
272,0.213362
273,0.211699
274,0.215614
275,0.214693
276,0.213142
277,0.2162
278,0.212406
279,0.217668
280,0.217062
281,0.218523
282,0.253519
283,0.245765
284,0.332101
285,0.2614
286,0.248905
287,0.249497
288,0.250402
289,0.259471
290,0.222672
291,0.227826
292,0.224644
293,0.227152
294,0.243061
295,0.225491
296,0.226859
297,0.226266
298,0.225662
299,0.231549
300,0.230182
301,0.229223
302,0.231072
303,0.230921
304,0.234286
305,0.233451
306,0.236051
307,0.235898
308,0.237976
309,0.237839
310,0.237736
311,0.240623
312,0.350622
313,0.249548
314,0.248152
315,0.276621
316,0.272665
317,0.26965
318,0.275203
319,0.248014
320,0.2497
321,0.251902
322,0.249632
323,0.249826
324,0.261997
325,0.270829
326,0.261323
327,0.247019
328,0.249952
329,0.24826
330,0.248975
331,0.250627
332,0.248051
333,0.252292
334,0.256594
335,0.261826
336,0.25466
337,0.254173
338,0.413219
339,0.25701
340,0.26035
341,0.289806
342,0.260212
343,0.295878
344,0.260883
345,0.258061
346,0.258724
347,0.25849
348,0.264704
349,0.268808
350,0.264272
351,0.263548
352,0.263557
353,0.26658
354,0.263345
355,0.264215
356,0.270712
357,0.264843
358,0.266422
359,0.266574
360,0.268834
361,0.277168
362,0.490761
363,0.300275
364,0.302888
365,0.302963
366,0.306288
367,0.271989
368,0.272388
369,0.292919
370,0.273955
371,0.275011
372,0.275276
373,0.280859
374,0.285074
375,0.279311
376,0.28173
377,0.281858
378,0.278221
379,0.282126
380,0.282946
381,0.282732
382,0.284335
383,0.285302
384,0.284822
385,0.441892
386,0.288359
387,0.308372
388,0.318408
389,0.327479
390,0.32008
391,0.287971
392,0.288871
393,0.290262
394,0.288704
395,0.295673
396,0.307365
397,0.290887
398,0.290371
399,0.291988
400,0.29288
401,0.293794
402,0.310867
403,0.295963
404,0.299378
405,0.300973
406,0.297847
407,0.471079
408,0.302156
409,0.311995
410,0.300927
411,0.301243
412,0.301239
413,0.302938
414,0.304835
415,0.305511
416,0.305865
417,0.304976
418,0.303029
419,0.30698
420,0.306011
421,0.311075
422,0.311804
423,0.308671
424,0.307416
425,0.308803
426,0.310541
427,0.312701
428,0.456767
429,0.313022
430,0.312221
431,0.312379
432,0.312941
433,0.316569
434,0.332041
435,0.315735
436,0.31821
437,0.316591
438,0.318725
439,0.319334
440,0.320054
441,0.317247
442,0.31888
443,0.322449
444,0.319642
445,0.3216
446,0.322426
447,0.322366
448,0.544169
449,0.335225
450,0.327412
451,0.327097
452,0.325073
453,0.328357
454,0.327369
455,0.327181
456,0.330558
457,0.329179
458,0.349736
459,0.334784
460,0.330721
461,0.332412
462,0.334738
463,0.334188
464,0.333503
465,0.33539
466,0.333039
467,0.564665
468,0.362699
469,0.399174
470,0.381626
471,0.367829
472,0.350365
473,0.353943
474,0.342998
475,0.346276
476,0.358103
477,0.351879
478,0.354462
479,0.3559
480,0.352582
481,0.346948
482,0.365749
483,0.360434
484,0.367878
485,0.358474
486,0.510394
487,0.368551
488,0.396004
489,0.393979
490,0.394469
491,0.355159
492,0.352399
493,0.352643
494,0.351943
495,0.353397
496,0.35699
497,0.35673
498,0.355266
499,0.356513
500,0.354002
501,0.360936
502,0.369943
503,0.359322
504,0.537762
505,0.36755
506,0.362377
507,0.362342
508,0.362233
509,0.365179
510,0.368595
511,0.363683
512,0.412041
513,0.364398
514,0.368622
515,0.366544
516,0.368579
517,0.371245
518,0.366966
519,0.373032
520,0.370897
521,0.509526
522,0.408045
523,0.372111
524,0.373595
525,0.375016
526,0.376329
527,0.374183
528,0.373589
529,0.374975
530,0.376115
531,0.376931
532,0.376773
533,0.381716
534,0.375726
535,0.37764
536,0.38295
537,0.383115
538,0.535764
539,0.41307
540,0.397825
541,0.396394
542,0.400236
543,0.416994
544,0.395466
545,0.39656
546,0.396093
547,0.397766
548,0.40071
549,0.396852
550,0.401281
551,0.403601
552,0.406407
553,0.405006
554,0.408405
555,0.542832
556,0.398287
557,0.391679
558,0.394768
559,0.394144
560,0.398743
561,0.401372
562,0.438565
563,0.399325
564,0.413267
565,0.409334
566,0.41469
567,0.405828
568,0.403788
569,0.403933
570,0.402925
571,0.564049
572,0.424077
573,0.452594
574,0.461596
575,0.408992
576,0.402198
577,0.405348
578,0.405009
579,0.411503
580,0.41202
581,0.429949
582,0.411123
583,0.418412
584,0.412535
585,0.412446
586,0.412784
587,0.625826
588,0.418237
589,0.413796
590,0.431189
591,0.41736
592,0.414238
593,0.41926
594,0.419496
595,0.416823
596,0.417054
597,0.418507
598,0.418666
599,0.421432
600,0.423249
601,0.42799
602,0.642361
603,0.48973
604,0.476416
605,0.449736
606,0.43145
607,0.428672
608,0.470063
609,0.429001
610,0.434879
611,0.431736
612,0.435812
613,0.435059
614,0.430342
615,0.434109
616,0.429225
617,0.605104
618,0.465029
619,0.491701
620,0.480081
621,0.435139
622,0.436179
623,0.443657
624,0.436548
625,0.454689
626,0.439869
627,0.437182
628,0.440263
629,0.440917
630,0.441139
631,0.445054
632,0.596733
633,0.441818
634,0.45899
635,0.444408
636,0.44567
637,0.447729
638,0.448208
639,0.447476
640,0.448676
641,0.449284
642,0.452236
643,0.454395
644,0.452734
645,0.453444
646,0.598473
647,0.524494
648,0.508365
649,0.470806
650,0.453944
651,0.474125
652,0.455942
653,0.455076
654,0.462634
655,0.45847
656,0.460503
657,0.466281
658,0.46293
659,0.465736
660,0.620653
661,0.526659
662,0.518086
663,0.507438
664,0.483663
665,0.469134
666,0.469312
667,0.49725
668,0.470227
669,0.468308
670,0.472133
671,0.467573
672,0.490462
673,0.490776
674,0.683728
675,0.529479
676,0.530425
677,0.520798
678,0.476308
679,0.476734
680,0.47776
681,0.474988
682,0.478803
683,0.480566
684,0.478379
685,0.479796
686,0.482481
687,0.480583
688,0.702025
689,0.481095
690,0.48479
691,0.502791
692,0.485682
693,0.485472
694,0.484362
695,0.48517
696,0.481235
697,0.489396
698,0.490481
699,0.490522
700,0.491479
701,0.759238
702,0.540241
703,0.533631
704,0.493441
705,0.49177
706,0.508514
707,0.491545
708,0.492517
709,0.492901
710,0.49301
711,0.492538
712,0.497296
713,0.501776
714,0.765459
715,0.572875
716,0.564115
717,0.521953
718,0.498148
719,0.497656
720,0.505821
721,0.503619
722,0.518595
723,0.506569
724,0.501231
725,0.508223
726,0.507711
727,0.661635
728,0.533404
729,0.591704
730,0.548096
731,0.506463
732,0.507827
733,0.510588
734,0.512278
735,0.511426
736,0.512294
737,0.518298
738,0.516689
739,0.517931
740,0.741817
741,0.512338
742,0.514896
743,0.51527
744,0.538759
745,0.516153
746,0.52102
747,0.520673
748,0.517213
749,0.520144
750,0.519471
